QuestionID,QuestionText
1,"1.54 problemset 1, page 4"
2,"1.58 problemset 1, page 4"
3,"1.53 problemset 1, page 4"
4,"1.59 problemset 1, page 4"
5,"1.42 potter properties dimensions, page 32"
6,"1.43 potter properties dimensions, page 32"
7,"1.44 potter properties dimensions, page 32"
8,"1.50 potter properties dimensions, page 32"
9,"1.51 potter properties dimensions, page 32"
10,"A viscometer is constructed with two 30 cm long concentric clyinders, one 20 cm in diameter and the other 20.2 cm in diameter. A torque of 0.13 Nm is required to rotat the inner cylinder at 400 rpm. Calculate the viscosity."
11,"The viscosity of a fluid is to be measured by a viscometer constructed of two 5 ft long concentric cylinders. The inner diameter of the outer cylinder is 6 in and the gap between the two cylinders is 0.035 in, The outer cylinder is rotated at 250 rpm, and the torque is measured to be 1.2lbf$\cdot$ft. Determine the viscosity of the fluid."
12,"6.27 potter dimensional analysis"
13,"6.28 potter dimensional analysis"
14,"6.29 potter dimensional analysis"
