QuestionID,QuestionText
1,"Find first three term : $cos(\sqrt{1-\epsilon t})$"
2,"Find first three term : $\sqrt{1-\frac{1}{2}\epsilon+2\epsilon^2}$"
3,"Find first three term : $\sqrt{1-\frac{1}{2}\epsilon^2t-\frac{1}{8}\epsilon^4t}$"
4,"Find first three term : $sin(1+\epsilon-\epsilon^2)$"
5,"Find first three term : $\log(\frac{1+2\epsilon-\epsilon^2}{2\sqrt{1+2\epsilon}})$"
6,"Find first three term : $\frac{\log(1+\epsilon)}{1-\epsilon}$"
7,"Find first three term : $(1-\frac{3}{8}a^2\epsilon+\frac{51}{256}a^4\epsilon^2)^{-1}$"
8,"Find first three term : $(1+\epsilon\omega_1+\epsilon^2\omega_2)^{-2}$"
9,"Find first three term : $sin(\sqrt{1-\epsilon^2}+\beta)$"
10,"Find first three term : $(1-\frac{1}{2}\epsilon+2\epsilon^2)$"
11,"Find first three term : $e^{\epsilon t}cos[(1-\epsilon^2)t+\beta]$"
12,"Find first three term : $\frac{1-\epsilon+2\epsilon^2}{1+\epsilon+3\epsilon^2}$"
13,"Find first three term : $(1-m\epsilon)^{-3/2}$"
