QuestionID,QuestionText
1,"$\int_1^2e^{xcosht}dt$ as $x\to\infty$"
2,"$\int_{-1}^3e^{xcosh^2t}dt$, $x\to\infty$"
3,"$\int_0^{\pi/2}e^{-xtant}dt$, $x\to\infty$"
4,"$\int_0^\infty e^{-xsinh^2t}dt$, $x\to\infty$"
5,"$\int_0^\infty\frac{e^{-xcosht}}{\sqrt{sinht}}dt$, $x\to\infty$"
6,"$\int_0^{\pi/4}e^{xcost}cos(nt)dt$, $x\to\infty$"
7,"$\int_0^1e^tt^x(1+t^2)^{-x}dt$, $x\to\infty$"
8,"$\int_0^1t^xcos^n(\pi t)dt$, $x\to\infty$"
9,"$\int_0^10(1+t)^{-1}e^{-xt}dt$, $x\to\infty$"
10,"$\int_{-1}^1e^{-xsin^4t}dt$, $x\to\infty$"
11,"$\int_0^1e^{-xsinh^4t}sintdt$, $x\to\infty$"
12,"$\int_0^{\pi/2}e^{-xsin^2t}dt$, $x\to\infty$"
13,"$\frac{1}{\pi}\int_0^\pi e^{xcost}cos(nt)dt$, $x\to\infty$"
